model,mode,macro_micro_iou,delta_vs_deepseek,cases_beating_human_only,predicted_rows,missing_rows,unresolved_rows,H-C1,H-C2,H-C3,H-C4,H-C5,H-C6
DeepSeek-V4-Flash（非思考模式）,agent,0.902455,0,6,249,1,0,1,1,1,1,0.595833,0.818898
DeepSeek-V4-Flash（非思考模式）,direct,0.15406,0,0,204,13,14,0.063218,0.027356,0.457831,0.15508,0.097166,0.123711
GPT-5.6 SOL,agent,0.869024,-0.033431,4,249,2,0,0.861272,1,0.775281,1,0.677184,0.900407
GPT-5.6 SOL,direct,0.179083,0.025022,0,204,17,6,0.063584,0.139818,0.433735,0.213904,0.097166,0.126289
Gemini 3.1 Pro,agent,0.885892,-0.016563,4,249,2,0,0.861272,1,0.975904,1,0.624709,0.853465
Gemini 3.1 Pro,direct,0.146059,-0.008002,0,204,26,23,0.063584,0.094225,0.352273,0.15508,0.101215,0.109974
Claude Opus 5,agent,0.907171,0.004715,4,249,1,0,1,1,0.975904,1,0.566713,0.900407
Claude Opus 5,direct,0.143241,-0.01082,0,204,55,48,0.063584,0.051672,0.409639,0.160428,0.089069,0.085052
Qwen 3.6,agent,0.786341,-0.116114,2,249,14,0,0.722543,1,0.879518,0.962567,0.586552,0.566864
Qwen 3.6,direct,0.149727,-0.004334,0,204,15,14,0.069364,0.027356,0.409639,0.171123,0.097166,0.123711
