metric,scope,group,correct,total,accuracy
component_accuracy,overall,all,149,192,0.7760416666666666
row_strict_accuracy,overall,all,62,96,0.6458333333333334
component_accuracy,form,T1,46,64,0.71875
component_accuracy,form,T2,50,64,0.78125
component_accuracy,form,T3,53,64,0.828125
row_strict_accuracy,form,T1,18,32,0.5625
row_strict_accuracy,form,T2,20,32,0.625
row_strict_accuracy,form,T3,24,32,0.75
component_accuracy,block,A,107,144,0.7430555555555556
component_accuracy,block,B,19,24,0.7916666666666666
component_accuracy,block,C,23,24,0.9583333333333334
row_strict_accuracy,block,A,20,48,0.4166666666666667
row_strict_accuracy,block,B,19,24,0.7916666666666666
row_strict_accuracy,block,C,23,24,0.9583333333333334
component_accuracy,field,time_span,40,48,0.8333333333333334
component_accuracy,field,sink,30,48,0.625
component_accuracy,field,interlude,37,48,0.7708333333333334
component_accuracy,field,choice,42,48,0.875
