皇帝名称,年号/纪元,开始的第一天是ISO 8601的那一天
商纣王,帝辛元年,-1075-01-01
周武王,武王元年,-1045-12-05
周成王,成王元年,-1042-12-15
周康王,康王元年,-1020-11-30
周昭王,昭王元年,-0995-12-10
周穆王,穆王元年,-0976-11-25
共和行政,共和元年,-0840-12-01
周宣王,宣王元年,-0826-12-01
周幽王,幽王元年,-0780-12-05
周平王,平王元年,-0770-12-11
鲁隐公,隐公元年,-0721-12-09
齐桓公,桓公元年,-0684-11-20
秦穆公,穆公元年,-0658-12-05
宋襄公,襄公元年,-0650-12-01
晋文公,文公元年,-0635-12-01
楚庄王,庄王元年,-0612-11-15
吴王阖闾,阖闾元年,-0513-11-20
越王勾践,勾践元年,-0495-12-01
魏文侯,文侯元年,-0444-12-10
韩昭侯,昭侯元年,-0361-11-18
秦孝公,孝公元年,-0360-11-25
齐威王,威王元年,-0355-12-02
楚威王,威王元年,-0339-11-28
赵武灵王,武灵王元年,-0324-11-30
燕昭王,昭王元年,-0310-12-05
秦始皇,始皇元年,-0246-11-01
秦始皇,始皇二十六年,-0220-10-31
汉高祖,高祖元年,-0205-11-08
汉武帝,建元,-0139-11-04
汉武帝,元光,-0133-11-13
汉武帝,元朔,-0127-11-02
汉武帝,元狩,-0121-11-12
汉武帝,元鼎,-0115-11-01
汉武帝,元封,-0109-11-10
汉武帝,太初,-0103-02-11
汉武帝,天汉,-0099-02-12
汉武帝,太始,-0095-02-14
汉武帝,征和,-0091-02-15
汉武帝,后元,-0087-02-18
汉昭帝,始元,-0085-02-05
汉昭帝,元凤,-0079-02-08
汉昭帝,元平,-0073-02-10
汉宣帝,本始,-0072-01-30
汉宣帝,地节,-0068-02-02
汉宣帝,元康,-0064-02-04
汉宣帝,神爵,-0060-01-26
汉宣帝,五凤,-0056-01-28
汉宣帝,甘露,-0052-01-31
汉宣帝,黄龙,-0048-02-03
汉元帝,初元,-0047-01-24
汉元帝,永光,-0042-01-28
汉元帝,建昭,-0037-02-01
汉元帝,竟宁,-0032-01-23
汉成帝,建始,-0031-02-11
汉成帝,河平,-0027-02-15
汉成帝,阳朔,-0023-01-28
汉成帝,鸿嘉,-0019-01-31
汉成帝,永始,-0015-02-03
汉成帝,元延,-0011-02-06
汉成帝,绥和,-0007-01-28
汉哀帝,建平,-0005-02-01
汉哀帝,太初元将,-0004-06-15
汉哀帝,元寿,-0001-02-06
汉平帝,元始,0001-02-11
孺子婴,居摄,0006-02-17
孺子婴,初始,0008-12-15
王莽,始建国,0009-01-15
王莽,天凤,0014-01-20
王莽,地皇,0020-01-14
更始帝,更始,0023-03-11
汉光武帝,建武,0025-08-05
汉光武帝,建武中元,0056-05-18
汉明帝,永平,0058-02-12
汉章帝,建初,0076-02-24
汉章帝,元和,0084-09-14
汉章帝,章和,0087-09-02
汉和帝,永元,0089-01-31
汉和帝,元兴,0105-01-29
汉殇帝,延平,0106-02-18
魏文帝,黄初,0220-12-11
汉昭烈帝,章武,0221-05-15
吴大帝,黄武,0222-11-20
晋武帝,泰始,0266-02-04
吴末帝,宝鼎,0266-09-16
吴末帝,建衡,0269-11-10
吴末帝,凤凰,0272-02-16
吴末帝,天册,0275-02-13
晋武帝,咸宁,0275-02-13
吴末帝,天玺,0276-08-27
吴末帝,天纪,0277-02-21
晋武帝,太康,0280-05-16
晋惠帝,永熙,0290-05-16
晋惠帝,永平,0291-02-16
晋惠帝,元康,0291-04-24
晋惠帝,永康,0300-02-06
晋惠帝,永宁,0301-02-25
晋怀帝,永嘉,0307-02-19
晋愍帝,建兴,0313-06-09
晋元帝,建武,0317-04-06
晋元帝,大兴,0318-04-26
北魏道武帝,登国,0386-02-16
北魏道武帝,皇始,0396-08-21
北魏道武帝,天兴,0398-02-03
北魏明元帝,永兴,0409-12-04
北魏太武帝,始光,0424-02-15
北魏文成帝,兴安,0452-11-13
北魏孝文帝,太和,0477-01-30
宋太祖,建隆,0960-01-31
宋太祖,乾德,0963-12-07
宋太祖,开宝,0968-12-16
宋仁宗,景祐,1034-01-22
宋神宗,熙宁,1068-02-06
宋徽宗,宣和,1119-02-12
宋钦宗,靖康,1126-01-25
宋高宗,建炎,1127-06-12
宋高宗,绍兴,1131-01-31
元世祖,中统,1260-06-29
元世祖,至元,1264-09-07
赵昺,祥兴,1278-05-23
元顺帝,至正,1341-01-18
明太祖,洪武,1368-01-20
明惠宗,建文,1399-02-06
明成祖,永乐,1403-01-23
明仁宗,洪熙,1425-01-20
明宣宗,宣德,1426-02-08
明英宗,正统,1436-01-18
明代宗,景泰,1450-01-14
明英宗,天顺,1457-02-11
明宪宗,成化,1465-01-27
明孝宗,弘治,1488-01-14
明武宗,正德,1506-01-24
明世宗,嘉靖,1522-01-28
明穆宗,隆庆,1567-02-09
明神宗,万历,1573-02-02
明光宗,泰昌,1620-08-28
明熹宗,天启,1621-01-22
明思宗,崇祯,1628-02-05
清世祖,顺治,1644-02-08
清圣祖,康熙,1662-02-18
清世宗,雍正,1723-02-05
清高宗,乾隆,1736-02-12
清仁宗,嘉庆,1796-02-09
清宣宗,道光,1821-02-03
清文宗,咸丰,1851-02-01
清穆宗,同治,1862-01-30
清德宗,光绪,1875-02-06
宣统帝,宣统,1909-01-22
